datetime_local,temperature,humidity,dew_point,wind_bearing,wind_speed,wind_gust,pressure,uv_index,ozone,precip_intensity,icon
01-10-2019 00:00,26,1,22.01,101,3.08,6.42,1008.45,0,268.6,0,partly-cloudy-night
01-10-2019 01:00,25,1,22.06,105,2.94,6.28,1008.24,0,269.1,0,partly-cloudy-night
01-10-2019 02:00,25,1,22.06,106,2.82,6.08,1007.9,0,269.7,0,partly-cloudy-night
01-10-2019 03:00,24,1,21.87,106,2.63,5.74,1007.61,0,270.4,0,partly-cloudy-night
01-10-2019 04:00,23,1,21.53,100,2.39,5.3,1007.51,0,271.3,0,partly-cloudy-night
01-10-2019 05:00,23,1,21.56,94,2.09,4.47,1008.03,0,271.6,0,partly-cloudy-night
01-10-2019 06:00,24,1,21.97,95,2.31,4.07,1008.61,0,271.8,0,partly-cloudy-night
01-10-2019 07:00,25,1,22.34,96,2.98,4.65,1008.97,0,272.4,0,partly-cloudy-day
01-10-2019 08:00,25,1,22.35,99,3.44,5.14,1009.53,1,272.8,0,partly-cloudy-day
01-10-2019 09:00,27,1,22.21,102,3.49,4.77,1010,3,272.6,0,partly-cloudy-day
01-10-2019 10:00,28,1,22.12,101,2.92,3.52,1009.99,4,271.6,0,partly-cloudy-day
01-10-2019 11:00,30,1,21.71,91,2.21,2.32,1009.86,5,271,0.03,partly-cloudy-day
01-10-2019 12:00,31,1,21.1,77,1.9,1.9,1009.39,6,271.2,0.02,partly-cloudy-day
01-10-2019 13:00,32,1,20.52,60,2.03,2.03,1008.35,5,271.6,0.01,partly-cloudy-day
01-10-2019 14:00,33,0,19.91,44,2.39,2.4,1007.24,5,272.2,0.01,partly-cloudy-day
01-10-2019 15:00,33,0,19.46,36,2.77,2.78,1006.39,4,272.5,0,partly-cloudy-day
01-10-2019 16:00,33,0,19.04,34,3.01,3.01,1006.08,2,272.5,0,partly-cloudy-day
01-10-2019 17:00,33,0,18.88,38,3.04,3.04,1005.97,1,272.6,0,partly-cloudy-day
01-10-2019 18:00,32,1,19.81,42,2.96,3.1,1006.39,0,273.2,0,partly-cloudy-day
01-10-2019 19:00,30,1,20.85,23,2.72,3.73,1007.49,0,274.2,0.06,partly-cloudy-night
01-10-2019 20:00,28,1,21.04,4,2.48,4.66,1008.37,0,275.4,0.15,clear-night
01-10-2019 21:00,27,1,21.31,19,2.61,5.54,1008.99,0,276,0.15,clear-night
01-10-2019 22:00,27,1,21.66,47,3.03,6.48,1009.27,0,276.4,0.06,clear-night
01-10-2019 23:00,26,1,21.85,69,3.28,6.7,1009.67,0,276.1,0,clear-night
02-10-2019 00:00,26,1,20.53,85,3.13,6.29,1010.06,0,275.6,0,clear-night
02-10-2019 01:00,26,1,20.9,96,2.7,5.81,1009.86,0,275.6,0,clear-night
02-10-2019 02:00,25,1,20.79,116,2.22,5.19,1009.67,0,275.6,0,clear-night
02-10-2019 03:00,25,1,20.56,122,1.86,4.75,1009.59,0,275.8,0,clear-night
02-10-2019 04:00,24,1,20.33,113,1.6,4.56,1009.63,0,276.2,0,clear-night
02-10-2019 05:00,23,1,20.24,105,1.26,3.52,1010.06,0,277,0,clear-night
02-10-2019 06:00,24,1,20.6,119,1.06,2.44,1010.52,0,277.9,0.01,clear-night
02-10-2019 07:00,25,1,21.13,128,1.1,2.28,1010.91,0,278.4,0.03,clear-day
02-10-2019 08:00,26,1,21.43,137,1.11,2.17,1011.65,1,278.6,0.05,clear-day
02-10-2019 09:00,27,1,21.71,154,1.1,1.97,1012.16,3,277.9,0.05,clear-day
02-10-2019 10:00,28,1,21.62,67,1.19,1.66,1012.18,5,276.2,0.03,clear-day
02-10-2019 11:00,29,1,21.19,6,1.59,1.69,1011.88,7,275.2,0.02,partly-cloudy-day
02-10-2019 12:00,30,1,20.75,10,2,2,1011.26,8,275.1,0.01,partly-cloudy-day
02-10-2019 13:00,31,1,20.27,16,2.15,2.15,1010.36,8,275.1,0,partly-cloudy-day
02-10-2019 14:00,32,0,19.85,17,2.24,2.51,1009.28,6,275.3,0,partly-cloudy-day
02-10-2019 15:00,33,0,19.64,15,2.33,2.97,1008.4,4,275.6,0.01,partly-cloudy-day
02-10-2019 16:00,33,0,19.05,9,2.37,3.22,1007.83,2,276.1,0.01,clear-day
02-10-2019 17:00,33,0,18.76,5,2.13,2.95,1007.88,1,276,0.01,clear-day
02-10-2019 18:00,32,0,19.34,12,1.91,2.99,1008.26,0,275.6,0,clear-day
02-10-2019 19:00,31,1,19.85,21,1.84,4.02,1008.47,0,275.8,0,clear-night
02-10-2019 20:00,29,1,19.78,32,1.8,5.07,1008.76,0,275.8,0,clear-night
02-10-2019 21:00,28,1,20.03,53,1.9,5.92,1009.05,0,275,0,partly-cloudy-night
02-10-2019 22:00,28,1,20.39,85,2.1,6.63,1009.11,0,273.3,0,partly-cloudy-night
02-10-2019 23:00,27,1,20.52,115,2.14,6.68,1009.13,0,272.1,0,partly-cloudy-night
03-10-2019 00:00,26,1,20.54,136,2.06,6.31,1008.95,0,271.9,0,partly-cloudy-night
03-10-2019 01:00,26,1,20.82,142,2.04,6.02,1008.84,0,272.4,0,partly-cloudy-night
03-10-2019 02:00,26,1,20.63,143,1.89,5.58,1008.9,0,273.2,0,partly-cloudy-night
