Length (ft),Height (ft),Speed (mph),Inversions,Type_Label_Encoded,Design_Label_Encoded,Status_Label_Encoded,Make_Label_Encoded,Opened_Year,Opened_Month,Opened_Day
723.9666666666667,49.2,37.3,0.0,0,6,3,177,2020,5,29
520.4666666666667,45.7,45.36666666666667,0.0,0,4,3,186,2021,1,1
678.6,40.733333333333334,40.4,0.0,0,4,1,203,2005,3,27
952.5,98.4,49.7,10.0,0,4,1,104,2006,2,1
755.6999999999999,55.0,35.43333333333334,0.0,0,4,2,185,2014,6,27
503.1,40.46666666666667,34.2,0.0,0,4,3,221,1968,1,1
305.1666666666667,30.333333333333336,24.5,0.0,0,4,1,186,2018,1,1
634.3666666666667,78.8,39.56666666666666,2.0,0,4,3,95,2004,4,1
579.6666666666667,106.1,55.9,2.0,0,4,1,95,2014,5,1
506.3666666666667,21.299999999999997,21.566666666666666,0.0,0,4,2,254,1985,1,1
506.3666666666667,21.299999999999997,21.566666666666666,0.0,0,4,2,254,1984,1,1
952.5,117.66666666666666,55.5,4.0,0,4,1,95,2009,1,1
952.5,119.23333333333333,58.13333333333333,4.0,0,4,1,95,2014,2,4
935.0,98.96666666666667,43.5,4.0,0,4,1,249,2014,1,1
935.0,107.73333333333333,47.36666666666667,4.0,0,4,3,249,2015,5,1
954.7,119.19999999999999,55.266666666666666,4.0,0,4,1,95,2014,6,23
935.0,98.96666666666667,43.5,4.0,0,4,1,249,2015,1,1
678.0333333333333,46.46666666666667,31.566666666666666,0.0,0,4,1,256,2001,1,1
477.26666666666665,44.3,37.3,0.0,0,4,3,191,1969,5,15
935.0,99.76666666666667,49.400000000000006,3.0,0,4,3,139,1984,1,1
959.1333333333332,64.53333333333333,33.66666666666667,0.0,0,4,3,139,1992,1,1
569.4333333333333,30.43333333333333,27.566666666666663,0.0,0,4,3,146,2002,1,1
630.9,9.5,13.699999999999996,0.0,0,4,1,256,2017,1,1
492.1333333333333,151.6,65.2,2.0,0,4,1,135,2006,6,27
639.8,98.4,52.8,3.0,0,4,1,79,2013,11,1
935.0,126.3,62.1,4.0,0,4,1,227,2021,7,14
643.0,65.6,37.3,0.0,0,4,1,227,2011,4,21
